model_type,exp_type,retrainer,mean_f1,std_f1,mean_dir_accuracy,retrains,windows,rank
lr,adwin,adwin_delta_0.01,0.4054,0.1154,0.5766,1,83,1
lr,adwin,adwin_delta_0.002,0.3822,0.114,0.5995,0,83,2
lr,adwin,adwin_delta_0.005,0.3822,0.114,0.5995,0,83,3
lr,causal,causal_tau_1_0.83_tau_2_0.72_lb_3,0.3798,0.1265,0.4483,18,83,1
lr,causal,causal_tau_1_0.83_tau_2_0.75_lb_3,0.3798,0.1265,0.4483,18,83,2
lr,causal,causal_tau_1_0.8_tau_2_0.72_lb_3,0.3777,0.1219,0.4371,16,83,3
lr,fixed,fixed_6,0.4163,0.1155,0.5006,13,83,1
lr,fixed,fixed_3,0.4082,0.1051,0.4961,27,83,2
lr,fixed,fixed_9,0.408,0.1295,0.4868,9,83,3
lr,msm,msm_tau_1_0.88_tau_2_0.72_lb_4,0.4203,0.1176,0.5038,19,83,1
lr,msm,msm_tau_1_0.88_tau_2_0.75_lb_4,0.4203,0.1176,0.5038,19,83,2
lr,msm,msm_tau_1_0.83_tau_2_0.72_lb_6,0.418,0.1173,0.5052,18,83,3
lr,perf,perf_drop_0.05_lookback_3,0.4237,0.1151,0.5079,17,83,1
lr,perf,perf_drop_0.03_lookback_3,0.422,0.1174,0.504,16,83,2
lr,perf,perf_drop_0.1_lookback_3,0.4218,0.1222,0.5034,15,83,3
lr,random,random,0.3987,0.1295,0.4883,6,83,1
lr,spy_msm,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,0.4182,0.1203,0.5058,17,83,1
lr,spy_msm,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,0.4182,0.1203,0.5058,17,83,2
lr,spy_msm,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,0.4182,0.1203,0.5058,17,83,3
lr,static,static,0.3822,0.114,0.5995,0,83,1
lr,timeout_msm,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,0.4178,0.118,0.5082,19,83,1
lr,timeout_msm,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,0.4151,0.1172,0.5066,19,83,2
lr,timeout_msm,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,0.4151,0.1172,0.5066,19,83,3
rf,adwin,adwin_delta_0.002,0.3644,0.1026,0.559,0,83,1
rf,adwin,adwin_delta_0.005,0.3644,0.1026,0.559,0,83,2
rf,adwin,adwin_delta_0.01,0.3644,0.1026,0.559,0,83,3
rf,causal,causal_tau_1_0.8_tau_2_0.72_lb_3,0.4108,0.12,0.4727,16,83,1
rf,causal,causal_tau_1_0.8_tau_2_0.75_lb_3,0.4108,0.12,0.4727,16,83,2
