model_type,feature,selection_count,selection_rate,total_windows
lr,T10Y2Y_d,1728,0.8675,1992
lr,GLD_lr,1560,0.7831,1992
lr,VIX_ld,1560,0.7831,1992
lr,BAA10Y_d,1512,0.759,1992
lr,UUP_lr,1464,0.7349,1992
lr,DGS10_d,1464,0.7349,1992
lr,USO_lr,1440,0.7229,1992
lr,OVX,1440,0.7229,1992
lr,MOVE_d,1440,0.7229,1992
lr,USEPUINDXD_ld,1440,0.7229,1992
rf,T10Y2Y_d,1728,0.8675,1992
rf,GLD_lr,1560,0.7831,1992
rf,VIX_ld,1560,0.7831,1992
rf,BAA10Y_d,1512,0.759,1992
rf,UUP_lr,1464,0.7349,1992
rf,DGS10_d,1464,0.7349,1992
rf,USO_lr,1440,0.7229,1992
rf,OVX,1440,0.7229,1992
rf,MOVE_d,1440,0.7229,1992
rf,USEPUINDXD_ld,1440,0.7229,1992
xgboost,T10Y2Y_d,1728,0.8675,1992
xgboost,GLD_lr,1560,0.7831,1992
xgboost,VIX_ld,1560,0.7831,1992
xgboost,BAA10Y_d,1512,0.759,1992
xgboost,UUP_lr,1464,0.7349,1992
xgboost,DGS10_d,1464,0.7349,1992
xgboost,USO_lr,1440,0.7229,1992
xgboost,OVX,1440,0.7229,1992
xgboost,MOVE_d,1440,0.7229,1992
xgboost,USEPUINDXD_ld,1440,0.7229,1992
