model_type,retrainer,exp_type,signals_fired,retrains_triggered,cooldown_suppressed,suppression_rate
lr,adwin_delta_0.01,adwin,1,1,0,0.0
lr,adwin_delta_0.05,adwin,0,0,0,
lr,adwin_delta_0.1,adwin,0,0,0,
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,30,18,12,0.4
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,34,19,15,0.4412
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,36,18,18,0.5
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,30,18,12,0.4
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,34,19,15,0.4412
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,36,18,18,0.5
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,31,18,13,0.4194
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,34,19,15,0.4412
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,36,18,18,0.5
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,33,19,14,0.4242
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,37,19,18,0.4865
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,36,18,18,0.5
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,34,19,15,0.4412
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,37,19,18,0.4865
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,36,18,18,0.5
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,34,19,15,0.4412
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,37,19,18,0.4865
lr,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,36,18,18,0.5
lr,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,26,16,10,0.3846
lr,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,34,19,15,0.4412
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,36,18,18,0.5
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,26,16,10,0.3846
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,34,19,15,0.4412
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,36,18,18,0.5
lr,fixed_12,fixed,6,6,0,0.0
lr,fixed_3,fixed,27,27,0,0.0
lr,fixed_6,fixed,13,13,0,0.0
lr,fixed_9,fixed,9,9,0,0.0
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,30,18,12,0.4
lr,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,34,19,15,0.4412
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,36,18,18,0.5
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,30,18,12,0.4
lr,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,34,19,15,0.4412
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,36,18,18,0.5
lr,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,31,18,13,0.4194
lr,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,34,19,15,0.4412
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,36,18,18,0.5
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,33,19,14,0.4242
lr,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,37,19,18,0.4865
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,36,18,18,0.5
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,34,19,15,0.4412
lr,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,37,19,18,0.4865
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,36,18,18,0.5
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,34,19,15,0.4412
lr,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,37,19,18,0.4865
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,36,18,18,0.5
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,26,16,10,0.3846
lr,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,34,19,15,0.4412
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,36,18,18,0.5
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,26,16,10,0.3846
lr,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,34,19,15,0.4412
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,36,18,18,0.5
lr,perf_drop_0.03_lookback_3,perf,32,16,16,0.5
lr,perf_drop_0.03_lookback_4,perf,32,16,16,0.5
lr,perf_drop_0.03_lookback_6,perf,32,13,19,0.5938
lr,perf_drop_0.05_lookback_3,perf,31,17,14,0.4516
lr,perf_drop_0.05_lookback_4,perf,26,14,12,0.4615
lr,perf_drop_0.05_lookback_6,perf,23,11,12,0.5217
lr,perf_drop_0.15_lookback_3,perf,13,11,2,0.1538
lr,perf_drop_0.15_lookback_4,perf,5,5,0,0.0
lr,perf_drop_0.15_lookback_6,perf,3,2,1,0.3333
lr,perf_drop_0.1_lookback_3,perf,20,15,5,0.25
lr,perf_drop_0.1_lookback_4,perf,12,9,3,0.25
lr,perf_drop_0.1_lookback_6,perf,10,5,5,0.5
lr,perf_drop_0.2_lookback_3,perf,5,3,2,0.4
lr,perf_drop_0.2_lookback_4,perf,2,2,0,0.0
lr,perf_drop_0.2_lookback_6,perf,0,0,0,
lr,random,random,6,6,0,0.0
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,24,15,9,0.375
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,27,16,11,0.4074
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,29,16,13,0.4483
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,24,15,9,0.375
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,27,16,11,0.4074
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,29,16,13,0.4483
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,24,15,9,0.375
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,27,16,11,0.4074
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,29,16,13,0.4483
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,25,15,10,0.4
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,29,17,12,0.4138
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,31,17,14,0.4516
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,26,15,11,0.4231
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,29,17,12,0.4138
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,31,17,14,0.4516
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,26,16,10,0.3846
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,29,17,12,0.4138
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,31,17,14,0.4516
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,24,15,9,0.375
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,27,16,11,0.4074
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,29,16,13,0.4483
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,24,15,9,0.375
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,27,16,11,0.4074
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,29,16,13,0.4483
lr,static,static,0,0,0,
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,30,18,12,0.4
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,35,19,16,0.4571
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,30,18,12,0.4
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,35,19,16,0.4571
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,31,18,13,0.4194
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,35,19,16,0.4571
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,33,19,14,0.4242
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,34,19,15,0.4412
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,38,20,18,0.4737
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,34,19,15,0.4412
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,38,20,18,0.4737
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,26,16,10,0.3846
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,35,19,16,0.4571
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,37,19,18,0.4865
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,26,16,10,0.3846
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,35,19,16,0.4571
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,37,19,18,0.4865
rf,adwin_delta_0.01,adwin,0,0,0,
rf,adwin_delta_0.05,adwin,0,0,0,
rf,adwin_delta_0.1,adwin,0,0,0,
rf,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,30,18,12,0.4
rf,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,34,19,15,0.4412
rf,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,36,18,18,0.5
rf,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,30,18,12,0.4
rf,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,34,19,15,0.4412
rf,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,36,18,18,0.5
rf,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,31,18,13,0.4194
rf,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,34,19,15,0.4412
rf,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,36,18,18,0.5
rf,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,33,19,14,0.4242
rf,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,37,19,18,0.4865
rf,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,36,18,18,0.5
rf,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,34,19,15,0.4412
rf,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,37,19,18,0.4865
rf,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,36,18,18,0.5
rf,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,34,19,15,0.4412
rf,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,37,19,18,0.4865
rf,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,36,18,18,0.5
rf,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,26,16,10,0.3846
rf,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,34,19,15,0.4412
rf,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,36,18,18,0.5
rf,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,26,16,10,0.3846
rf,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,34,19,15,0.4412
rf,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,36,18,18,0.5
rf,fixed_12,fixed,6,6,0,0.0
rf,fixed_3,fixed,27,27,0,0.0
rf,fixed_6,fixed,13,13,0,0.0
rf,fixed_9,fixed,9,9,0,0.0
rf,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,30,18,12,0.4
rf,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,34,19,15,0.4412
rf,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,36,18,18,0.5
rf,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,30,18,12,0.4
rf,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,34,19,15,0.4412
rf,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,36,18,18,0.5
rf,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,31,18,13,0.4194
rf,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,34,19,15,0.4412
rf,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,36,18,18,0.5
rf,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,33,19,14,0.4242
rf,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,37,19,18,0.4865
rf,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,36,18,18,0.5
rf,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,34,19,15,0.4412
rf,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,37,19,18,0.4865
rf,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,36,18,18,0.5
rf,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,34,19,15,0.4412
rf,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,37,19,18,0.4865
rf,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,36,18,18,0.5
rf,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,26,16,10,0.3846
rf,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,34,19,15,0.4412
rf,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,36,18,18,0.5
rf,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,26,16,10,0.3846
rf,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,34,19,15,0.4412
rf,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,36,18,18,0.5
rf,perf_drop_0.03_lookback_3,perf,37,20,17,0.4595
rf,perf_drop_0.03_lookback_4,perf,33,15,18,0.5455
rf,perf_drop_0.03_lookback_6,perf,33,16,17,0.5152
rf,perf_drop_0.05_lookback_3,perf,24,16,8,0.3333
rf,perf_drop_0.05_lookback_4,perf,27,14,13,0.4815
rf,perf_drop_0.05_lookback_6,perf,22,13,9,0.4091
rf,perf_drop_0.15_lookback_3,perf,8,7,1,0.125
rf,perf_drop_0.15_lookback_4,perf,0,0,0,
rf,perf_drop_0.15_lookback_6,perf,0,0,0,
rf,perf_drop_0.1_lookback_3,perf,15,11,4,0.2667
