model_type,retrainer,exp_type,total_retrains,true_positives,false_positives,false_positive_rate,precision
lr,adwin_delta_0.01,adwin,1,1,0,0.0,1.0
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,16,2,14,0.875,0.125
lr,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,18,2,16,0.8889,0.1111
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,16,2,14,0.875,0.125
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,19,2,17,0.8947,0.1053
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,18,2,16,0.8889,0.1111
lr,fixed_12,fixed,6,1,5,0.8333,0.1667
lr,fixed_3,fixed,27,3,24,0.8889,0.1111
lr,fixed_6,fixed,13,1,12,0.9231,0.0769
lr,fixed_9,fixed,9,2,7,0.7778,0.2222
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,18,2,16,0.8889,0.1111
