model_type,retrainer,exp_type,mean_rank,n_windows
lr,perf_drop_0.05_lookback_3,perf,52.6566,83
lr,perf_drop_0.03_lookback_4,perf,53.1988,83
lr,perf_drop_0.03_lookback_3,perf,54.2289,83
lr,perf_drop_0.1_lookback_3,perf,54.5663,83
lr,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,54.7892,83
lr,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,54.7892,83
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,54.8916,83
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,54.8916,83
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,54.8916,83
lr,perf_drop_0.03_lookback_6,perf,55.1205,83
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,55.1265,83
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,55.1265,83
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,55.1265,83
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,55.1265,83
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,55.1265,83
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,55.1265,83
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,55.1265,83
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,55.1265,83
lr,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,55.1506,83
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,55.3253,83
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,55.3253,83
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,55.3253,83
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,55.3253,83
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,55.3253,83
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,55.3253,83
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,55.3855,83
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,56.0,83
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,56.0422,83
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,56.0422,83
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,56.0422,83
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,56.0422,83
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,56.0422,83
