model_type,retrainer,exp_type,mean_f1,std_f1,median_f1,mean_dir_accuracy,retrains,signals_fired,cooldowns_hit,windows
lr,perf_drop_0.05_lookback_3,perf,0.4237,0.1151,0.4204,0.5079,17,31,36,83
lr,perf_drop_0.03_lookback_3,perf,0.422,0.1174,0.4204,0.504,16,32,34,83
lr,perf_drop_0.1_lookback_3,perf,0.4218,0.1222,0.4195,0.5034,15,20,32,83
lr,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,0.4203,0.1176,0.4088,0.5038,19,37,38,83
lr,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,0.4203,0.1176,0.4088,0.5038,19,37,38,83
lr,perf_drop_0.03_lookback_4,perf,0.4203,0.1211,0.4048,0.5009,16,32,34,83
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,0.4182,0.1203,0.4088,0.5058,17,31,34,83
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,0.4182,0.1203,0.4088,0.5058,17,31,34,83
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,0.4182,0.1203,0.4088,0.5058,17,31,34,83
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,0.418,0.1173,0.4109,0.5052,18,36,38,83
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,0.4178,0.118,0.4023,0.5082,19,37,38,83
lr,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,0.4166,0.1158,0.4109,0.4996,19,37,38,83
lr,fixed_6,fixed,0.4163,0.1155,0.4167,0.5006,13,13,28,83
lr,perf_drop_0.15_lookback_3,perf,0.4161,0.1146,0.4127,0.5242,11,13,24,83
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,0.4159,0.1264,0.4088,0.5033,16,26,32,83
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,0.4151,0.1172,0.4088,0.5066,19,33,38,83
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,0.4151,0.1172,0.4088,0.5066,19,34,38,83
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,0.4151,0.1172,0.4088,0.5066,19,34,38,83
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,0.4151,0.1172,0.4088,0.5066,19,33,38,83
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,0.4151,0.1172,0.4088,0.5066,19,34,38,83
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,0.4151,0.1172,0.4088,0.5066,19,34,38,83
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,0.415,0.1224,0.401,0.5041,16,26,32,83
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,0.415,0.1224,0.401,0.5041,16,26,32,83
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,0.415,0.1224,0.401,0.5041,16,26,32,83
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,0.415,0.1224,0.401,0.5041,16,26,32,83
lr,perf_drop_0.1_lookback_4,perf,0.4148,0.1166,0.4074,0.5095,9,12,20,83
lr,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,0.4146,0.1152,0.4023,0.5015,19,34,38,83
lr,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,0.4146,0.1152,0.4023,0.5015,19,34,38,83
lr,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,0.4146,0.1152,0.4023,0.5015,19,34,38,83
lr,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,0.4146,0.1152,0.4023,0.5015,19,34,38,83
lr,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,0.4146,0.1152,0.4023,0.5015,19,34,38,83
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,0.4146,0.1192,0.4105,0.5027,17,29,34,83
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,0.4146,0.1192,0.4105,0.5027,17,29,34,83
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,0.4145,0.115,0.4167,0.4985,18,30,36,83
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,0.4145,0.115,0.4167,0.4985,18,30,36,83
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,0.4145,0.115,0.4167,0.4985,18,30,36,83
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,0.4145,0.115,0.4167,0.4985,18,30,36,83
lr,perf_drop_0.03_lookback_6,perf,0.414,0.1226,0.4048,0.4999,13,32,28,83
lr,perf_drop_0.05_lookback_6,perf,0.4136,0.12,0.4015,0.5023,11,23,24,83
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,0.4136,0.1192,0.4029,0.5038,20,38,40,83
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,0.4136,0.1192,0.4029,0.5038,20,38,40,83
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,0.4136,0.1143,0.409,0.498,19,37,40,83
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,0.4135,0.1172,0.4126,0.5004,16,29,32,83
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,0.4135,0.1172,0.4126,0.5004,16,29,32,83
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,0.4135,0.1172,0.4126,0.5004,16,29,32,83
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,0.4135,0.1172,0.4126,0.5004,16,29,32,83
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,0.4135,0.1172,0.4126,0.5004,16,29,32,83
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,0.4134,0.1159,0.401,0.5045,19,35,38,83
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,0.4134,0.1159,0.401,0.5045,19,35,38,83
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,0.4134,0.1159,0.401,0.5045,19,35,38,83
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,0.4134,0.1159,0.401,0.5045,19,35,38,83
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,0.4134,0.1159,0.401,0.5045,19,35,38,83
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,0.4131,0.1096,0.4204,0.5018,16,27,32,83
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,0.4131,0.1096,0.4204,0.5018,16,27,32,83
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,0.4131,0.1096,0.4204,0.5018,16,27,32,83
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,0.4131,0.1096,0.4204,0.5018,16,27,32,83
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,0.4131,0.1096,0.4204,0.5018,16,27,32,83
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,0.4129,0.1226,0.4105,0.4971,17,29,34,83
lr,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,0.4126,0.113,0.4023,0.4936,18,31,36,83
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,0.4126,0.113,0.4023,0.4936,18,31,36,83
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,0.4116,0.1239,0.4088,0.4968,15,25,30,83
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,0.4116,0.1239,0.4088,0.4968,15,26,30,83
lr,perf_drop_0.05_lookback_4,perf,0.4112,0.1175,0.401,0.4848,14,26,30,83
lr,fixed_3,fixed,0.4082,0.1051,0.4111,0.4961,27,27,55,83
lr,fixed_9,fixed,0.408,0.1295,0.3873,0.4868,9,9,19,83
lr,adwin_delta_0.01,adwin,0.4054,0.1154,0.3973,0.5766,1,1,4,83
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,0.4043,0.1173,0.4062,0.4859,15,24,30,83
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,0.4043,0.1173,0.4062,0.4859,15,24,30,83
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,0.4043,0.1173,0.4062,0.4859,15,24,30,83
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,0.4043,0.1173,0.4062,0.4859,15,24,30,83
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,0.4043,0.1173,0.4062,0.4859,15,24,30,83
lr,perf_drop_0.2_lookback_3,perf,0.4031,0.1118,0.3986,0.5366,3,5,8,83
lr,fixed_12,fixed,0.4027,0.1203,0.381,0.4737,6,6,14,83
lr,perf_drop_0.15_lookback_4,perf,0.4016,0.1138,0.4023,0.5372,5,5,12,83
lr,perf_drop_0.1_lookback_6,perf,0.4014,0.1139,0.401,0.5239,5,10,12,83
lr,random,random,0.3987,0.1295,0.4074,0.4883,6,6,14,83
lr,perf_drop_0.15_lookback_6,perf,0.3923,0.1203,0.3824,0.485,2,3,6,83
lr,perf_drop_0.2_lookback_4,perf,0.3849,0.118,0.3824,0.5466,2,2,6,83
lr,adwin_delta_0.05,adwin,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,adwin_delta_0.1,adwin,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,perf_drop_0.2_lookback_6,perf,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,static,static,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0.3798,0.1265,0.3803,0.4483,18,30,36,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0.3798,0.1265,0.3803,0.4483,18,30,36,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,0.3777,0.1219,0.3803,0.4371,16,26,32,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,0.3777,0.1219,0.3803,0.4371,16,26,32,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0.3737,0.1234,0.3754,0.4302,19,37,38,83
