model_type,retrainer,exp_type,class,class_name,f1
lr,adwin_delta_0.01,adwin,0,down,0.5377
lr,adwin_delta_0.01,adwin,1,neutral,0.3445
lr,adwin_delta_0.01,adwin,2,up,0.5621
lr,adwin_delta_0.05,adwin,0,down,0.5243
lr,adwin_delta_0.05,adwin,1,neutral,0.124
lr,adwin_delta_0.05,adwin,2,up,0.5784
lr,adwin_delta_0.1,adwin,0,down,0.5243
lr,adwin_delta_0.1,adwin,1,neutral,0.124
lr,adwin_delta_0.1,adwin,2,up,0.5784
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0,down,0.4753
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,1,neutral,0.4617
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,2,up,0.4643
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0,down,0.4746
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,1,neutral,0.4736
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,2,up,0.4588
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,0,down,0.4714
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,1,neutral,0.477
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,2,up,0.4506
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0,down,0.4753
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,1,neutral,0.4617
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,2,up,0.4643
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0,down,0.4746
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,1,neutral,0.4736
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,2,up,0.4588
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,0,down,0.4714
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,1,neutral,0.477
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,2,up,0.4506
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,0,down,0.471
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,1,neutral,0.4717
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,2,up,0.4589
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0,down,0.4746
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,1,neutral,0.4736
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,2,up,0.4588
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,0,down,0.4714
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,1,neutral,0.477
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,2,up,0.4506
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,0,down,0.4764
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,1,neutral,0.4742
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,2,up,0.4532
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,0,down,0.4785
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,1,neutral,0.478
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,2,up,0.4545
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,0,down,0.4714
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,1,neutral,0.477
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,2,up,0.4506
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,0,down,0.4764
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,1,neutral,0.4742
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,2,up,0.4532
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,0,down,0.4785
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,1,neutral,0.478
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,2,up,0.4545
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,0,down,0.4714
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,1,neutral,0.477
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,2,up,0.4506
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,0,down,0.4764
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,1,neutral,0.4742
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,2,up,0.4532
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0,down,0.479
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,1,neutral,0.487
