model_type,retrainer,exp_type,retrain_rate_calm,retrain_rate_stress,stress_calm_ratio
lr,fixed_9,fixed,0.0933,0.25,2.6795
lr,perf_drop_0.1_lookback_6,perf,0.0533,0.125,2.3452
lr,perf_drop_0.05_lookback_6,perf,0.12,0.25,2.0833
lr,fixed_12,fixed,0.0667,0.125,1.8741
lr,perf_drop_0.03_lookback_6,perf,0.1467,0.25,1.7042
lr,perf_drop_0.05_lookback_4,perf,0.16,0.25,1.5625
lr,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,0.1867,0.25,1.339
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,0.1867,0.25,1.339
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,0.1867,0.25,1.339
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,0.1867,0.25,1.339
lr,perf_drop_0.03_lookback_4,perf,0.1867,0.25,1.339
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,0.1867,0.25,1.339
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,0.1867,0.25,1.339
lr,perf_drop_0.05_lookback_3,perf,0.2,0.25,1.25
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,0.2133,0.25,1.1721
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,0.2133,0.25,1.1721
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,0.2133,0.25,1.1721
lr,fixed_3,fixed,0.32,0.375,1.1719
lr,perf_drop_0.1_lookback_4,perf,0.1067,0.125,1.1715
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
lr,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,0.2267,0.25,1.1028
lr,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
