model_type,retrainer,exp_type,window,date_start,pre_retrain_f1,post_retrain_f1,f1_delta,in_stress_window
lr,adwin_delta_0.01,adwin,65,2022-05-06,0.2963,0.4952,0.199,True
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,7,2017-07-06,0.2835,0.3327,0.0492,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,11,2017-11-02,0.3327,0.5842,0.2515,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,16,2018-04-06,0.5428,0.4455,-0.0972,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,20,2018-08-06,0.4455,0.4041,-0.0415,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,24,2018-12-04,0.4041,0.3354,-0.0687,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,28,2019-04-08,0.3354,0.3787,0.0433,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,31,2019-07-09,0.3303,0.3681,0.0377,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,38,2020-02-06,0.5855,0.2827,-0.3028,True
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,42,2020-06-08,0.2827,0.4094,0.1267,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,46,2020-10-06,0.4094,0.3021,-0.1073,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,52,2021-04-08,0.2373,0.2863,0.0489,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,56,2021-08-06,0.2863,0.3898,0.1036,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,60,2021-12-06,0.3898,0.2663,-0.1235,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,64,2022-04-06,0.2663,0.5683,0.302,True
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,68,2022-08-08,0.5683,0.3417,-0.2266,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,74,2023-02-07,0.4346,0.2328,-0.2018,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,78,2023-06-08,0.2328,0.4374,0.2046,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,9,2017-09-05,0.3139,0.4803,0.1664,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,13,2018-01-04,0.4803,0.4727,-0.0076,False
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,16,2018-04-06,0.541,0.4455,-0.0955,False
