model_type,exp_type,tau_1,tau_2,lookback,mean_f1,std_f1,mean_dir_accuracy,retrains
lr,causal,0.83,0.72,3.0,0.3798,0.1265,0.4483,18
lr,causal,0.83,0.75,3.0,0.3798,0.1265,0.4483,18
lr,causal,0.8,0.72,3.0,0.3777,0.1219,0.4371,16
lr,causal,0.8,0.75,3.0,0.3777,0.1219,0.4371,16
lr,causal,0.8,0.72,4.0,0.3767,0.1191,0.4288,19
lr,causal,0.8,0.75,4.0,0.3767,0.1191,0.4288,19
lr,causal,0.83,0.72,4.0,0.3767,0.1191,0.4288,19
lr,causal,0.83,0.75,4.0,0.3767,0.1191,0.4288,19
lr,causal,0.83,0.78,4.0,0.3767,0.1191,0.4288,19
lr,causal,0.88,0.78,4.0,0.3737,0.1234,0.4302,19
lr,causal,0.83,0.78,3.0,0.3721,0.1198,0.428,18
lr,causal,0.88,0.72,4.0,0.3688,0.1233,0.4309,19
lr,causal,0.88,0.75,4.0,0.3688,0.1233,0.4309,19
lr,causal,0.88,0.72,3.0,0.3665,0.13,0.4302,19
lr,causal,0.88,0.75,3.0,0.3665,0.13,0.4302,19
lr,causal,0.88,0.78,3.0,0.3665,0.13,0.4302,19
lr,causal,0.8,0.72,6.0,0.3642,0.1177,0.4323,18
lr,causal,0.8,0.75,6.0,0.3642,0.1177,0.4323,18
lr,causal,0.83,0.72,6.0,0.3642,0.1177,0.4323,18
lr,causal,0.83,0.75,6.0,0.3642,0.1177,0.4323,18
lr,causal,0.83,0.78,6.0,0.3642,0.1177,0.4323,18
lr,causal,0.88,0.72,6.0,0.3642,0.1177,0.4323,18
lr,causal,0.88,0.75,6.0,0.3642,0.1177,0.4323,18
lr,causal,0.88,0.78,6.0,0.3642,0.1177,0.4323,18
lr,msm,0.88,0.72,4.0,0.4203,0.1176,0.5038,19
lr,msm,0.88,0.75,4.0,0.4203,0.1176,0.5038,19
lr,msm,0.8,0.72,6.0,0.418,0.1173,0.5052,18
lr,msm,0.8,0.75,6.0,0.418,0.1173,0.5052,18
lr,msm,0.83,0.72,6.0,0.418,0.1173,0.5052,18
lr,msm,0.83,0.75,6.0,0.418,0.1173,0.5052,18
lr,msm,0.83,0.78,6.0,0.418,0.1173,0.5052,18
lr,msm,0.88,0.72,6.0,0.418,0.1173,0.5052,18
lr,msm,0.88,0.75,6.0,0.418,0.1173,0.5052,18
lr,msm,0.88,0.78,6.0,0.418,0.1173,0.5052,18
lr,msm,0.88,0.78,4.0,0.4166,0.1158,0.4996,19
lr,msm,0.88,0.72,3.0,0.4151,0.1172,0.5066,19
lr,msm,0.88,0.75,3.0,0.4151,0.1172,0.5066,19
