model_type,retrainer,exp_type,mean_f1_calm,mean_f1_stress,n_calm,n_stress,f1_stress_minus_calm
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,0.3595,0.4082,75.0,8.0,0.0487
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0.37,0.4082,75.0,8.0,0.0382
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0.3788,0.3887,75.0,8.0,0.0099
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0.3788,0.3887,75.0,8.0,0.0099
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,0.3675,0.3572,75.0,8.0,-0.0103
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,0.3675,0.3572,75.0,8.0,-0.0103
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,0.3675,0.3572,75.0,8.0,-0.0103
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0.3785,0.3592,75.0,8.0,-0.0193
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0.3785,0.3592,75.0,8.0,-0.0193
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0.3785,0.3592,75.0,8.0,-0.0193
lr,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,0.3785,0.3592,75.0,8.0,-0.0193
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0.3785,0.3592,75.0,8.0,-0.0193
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,0.4164,0.3966,75.0,8.0,-0.0198
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,0.4164,0.3966,75.0,8.0,-0.0198
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,0.4164,0.3966,75.0,8.0,-0.0198
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,0.4164,0.3966,75.0,8.0,-0.0198
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,0.371,0.3484,75.0,8.0,-0.0226
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,0.371,0.3484,75.0,8.0,-0.0226
lr,perf_drop_0.03_lookback_4,perf,0.4227,0.3978,75.0,8.0,-0.0249
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,0.3746,0.3484,75.0,8.0,-0.0262
lr,fixed_3,fixed,0.4108,0.3839,75.0,8.0,-0.0269
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,0.418,0.3877,75.0,8.0,-0.0303
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,0.418,0.3877,75.0,8.0,-0.0303
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,0.418,0.3877,75.0,8.0,-0.0303
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,0.418,0.3877,75.0,8.0,-0.0303
