window,date_start,date_end,total_edges,spy_parents,runtime_s
1,2017-01-04,2019-01-04,22,3,6.1
2,2017-02-03,2019-02-05,14,3,6.1
3,2017-03-07,2019-03-07,19,2,6.1
4,2017-04-05,2019-04-05,15,3,6.1
5,2017-05-05,2019-05-07,15,3,6.1
6,2017-06-06,2019-06-06,15,4,6.1
7,2017-07-06,2019-07-08,26,1,6.1
8,2017-08-04,2019-08-06,24,2,6.1
9,2017-09-05,2019-09-05,19,1,6.1
10,2017-10-04,2019-10-04,21,2,6.1
11,2017-11-02,2019-11-04,16,4,6.1
12,2017-12-04,2019-12-04,16,3,6.1
13,2018-01-04,2020-01-06,19,3,6.1
14,2018-02-05,2020-02-05,17,3,6.1
15,2018-03-07,2020-03-06,25,2,6.1
16,2018-04-06,2020-04-06,26,1,6.1
17,2018-05-07,2020-05-06,30,1,6.1
18,2018-06-06,2020-06-05,20,2,6.1
19,2018-07-06,2020-07-07,28,2,6.1
20,2018-08-06,2020-08-05,36,2,6.1
21,2018-09-05,2020-09-03,28,2,6.1
22,2018-10-04,2020-10-05,24,2,6.1
23,2018-11-02,2020-11-03,21,3,6.1
24,2018-12-04,2020-12-03,22,2,6.1
25,2019-01-07,2021-01-05,32,1,6.1
26,2019-02-06,2021-02-04,33,2,6.1
27,2019-03-08,2021-03-08,24,3,6.1
28,2019-04-08,2021-04-07,22,3,6.1
29,2019-05-08,2021-05-06,23,2,6.1
30,2019-06-07,2021-06-07,19,2,6.1
31,2019-07-09,2021-07-07,22,3,6.1
32,2019-08-07,2021-08-05,22,4,6.1
33,2019-09-06,2021-09-03,23,4,6.1
34,2019-10-07,2021-10-05,25,3,6.1
35,2019-11-05,2021-11-03,24,3,6.1
36,2019-12-05,2021-12-03,18,3,6.1
37,2020-01-07,2022-01-04,20,4,6.1
38,2020-02-06,2022-02-03,31,2,6.1
39,2020-03-09,2022-03-07,26,2,6.1
40,2020-04-07,2022-04-05,19,1,6.1
41,2020-05-07,2022-05-05,25,2,6.1
42,2020-06-08,2022-06-06,22,1,6.1
43,2020-07-08,2022-07-07,30,1,6.1
44,2020-08-06,2022-08-05,23,2,6.1
45,2020-09-04,2022-09-06,20,1,6.1
46,2020-10-06,2022-10-05,20,2,6.1
47,2020-11-04,2022-11-03,21,2,6.1
48,2020-12-04,2022-12-05,18,1,6.1
49,2021-01-06,2023-01-05,17,1,6.1
50,2021-02-05,2023-02-06,15,1,6.1
51,2021-03-09,2023-03-08,29,1,6.1
52,2021-04-08,2023-04-06,18,1,6.1
53,2021-05-07,2023-05-08,31,2,6.1
54,2021-06-08,2023-06-07,28,3,6.1
55,2021-07-08,2023-07-10,25,2,6.1
56,2021-08-06,2023-08-08,15,0,6.1
57,2021-09-07,2023-09-07,16,0,6.1
58,2021-10-06,2023-10-06,16,0,6.1
59,2021-11-04,2023-11-06,15,0,6.1
60,2021-12-06,2023-12-06,16,0,6.1
61,2022-01-05,2024-01-08,15,0,6.1
62,2022-02-04,2024-02-07,23,0,6.1
63,2022-03-08,2024-03-08,15,1,6.1
64,2022-04-06,2024-04-09,16,1,6.1
65,2022-05-06,2024-05-08,14,1,6.1
66,2022-06-07,2024-06-07,18,1,6.1
67,2022-07-08,2024-07-10,24,3,6.1
68,2022-08-08,2024-08-08,24,3,6.1
69,2022-09-07,2024-09-09,22,2,6.1
70,2022-10-06,2024-10-08,19,2,6.1
71,2022-11-04,2024-11-06,19,2,6.1
72,2022-12-06,2024-12-06,17,1,6.1
73,2023-01-06,2025-01-08,18,1,6.1
74,2023-02-07,2025-02-10,27,1,6.1
75,2023-03-09,2025-03-12,21,1,6.1
76,2023-04-10,2025-04-10,28,2,6.1
77,2023-05-09,2025-05-12,16,1,6.1
78,2023-06-08,2025-06-11,18,1,6.1
79,2023-07-11,2025-07-14,16,1,6.1
80,2023-08-09,2025-08-12,16,1,6.1
81,2023-09-08,2025-09-11,17,1,6.1
82,2023-10-09,2025-10-10,21,0,6.1
83,2023-11-07,2025-11-10,22,0,6.1
84,2023-12-07,2025-12-10,19,0,6.1
