source,target,lag,window_count,persistence
USEPUINDXD_ld,USEPUINDXD_ld,1,84,1.0
VIX_ld,VIX_ld,1,84,1.0
SPY_lr,VIX_ld,0,84,1.0
GLD_lr,UUP_lr,0,84,1.0
OVX,OVX,1,84,1.0
BAA10Y_d,DGS10_d,0,76,0.9048
USO_lr,OVX,0,68,0.8095
SPY_lr,MOVE_d,0,67,0.7976
GLD_lr,DGS10_d,0,64,0.7619
SPY_lr,USO_lr,0,57,0.6786
T10Y2Y_d,DGS10_d,0,53,0.631
SPY_lr,BAA10Y_d,0,50,0.5952
SPY_lr,BAA10Y_d,1,48,0.5714
VIX_ld,MOVE_d,0,46,0.5476
SPY_lr,UUP_lr,0,44,0.5238
MOVE_d,MOVE_d,3,39,0.4643
SPY_lr,OVX,0,38,0.4524
T10Y2Y_d,BAA10Y_d,0,34,0.4048
SPY_lr,UUP_lr,1,32,0.381
MOVE_d,MOVE_d,2,30,0.3571
SPY_lr,DGS10_d,0,28,0.3333
MOVE_d,T10Y2Y_d,0,26,0.3095
MOVE_d,MOVE_d,5,25,0.2976
UUP_lr,DGS10_d,0,21,0.25
USEPUINDXD_ld,USEPUINDXD_ld,3,21,0.25
GLD_lr,USO_lr,0,20,0.2381
BAA10Y_d,BAA10Y_d,2,19,0.2262
BAA10Y_d,BAA10Y_d,1,19,0.2262
UUP_lr,BAA10Y_d,2,19,0.2262
USO_lr,MOVE_d,0,18,0.2143
OVX,MOVE_d,0,18,0.2143
VIX_ld,OVX,0,18,0.2143
VIX_ld,VIX_ld,2,17,0.2024
MOVE_d,BAA10Y_d,0,16,0.1905
SPY_lr,SPY_lr,1,16,0.1905
UUP_lr,MOVE_d,0,16,0.1905
T10Y2Y_d,T10Y2Y_d,3,14,0.1667
MOVE_d,DGS10_d,0,13,0.1548
MOVE_d,MOVE_d,4,12,0.1429
MOVE_d,USO_lr,1,12,0.1429
USEPUINDXD_ld,GLD_lr,3,10,0.119
USO_lr,DGS10_d,0,9,0.1071
MOVE_d,USEPUINDXD_ld,0,9,0.1071
SPY_lr,T10Y2Y_d,4,8,0.0952
GLD_lr,BAA10Y_d,3,7,0.0833
MOVE_d,USEPUINDXD_ld,5,7,0.0833
SPY_lr,USO_lr,2,6,0.0714
UUP_lr,BAA10Y_d,5,6,0.0714
