window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
1,2017-01-04,2019-01-04,22,False,False,False,0,0.4534,0.8235,"[2, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 2, 1, 2]","[2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 2, 0, 2, 2]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
2,2017-02-03,2019-02-05,14,False,False,True,1,0.3355,0.6429,"[2, 0, 0, 1, 1, 2, 2, 0, 2, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
3,2017-03-07,2019-03-07,19,False,False,True,2,0.5528,0.75,"[0, 0, 2, 2, 2, 1, 2, 2, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 1, 1, 2]","[0, 0, 2, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 2]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
4,2017-04-05,2019-04-05,15,True,True,False,0,0.5714,0.6667,"[2, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 0]","[2, 2, 0, 0, 2, 2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 0, 2, 0, 2, 0]","{""C"": 10.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
5,2017-05-05,2019-05-07,15,False,False,True,1,0.475,0.75,"[0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 2, 2]","[0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]","{""C"": 10.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
6,2017-06-06,2019-06-06,15,False,False,True,2,0.3263,0.625,"[2, 2, 2, 1, 0, 2, 1, 1, 2, 1, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0]","[2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2]","{""C"": 10.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
7,2017-07-06,2019-07-08,26,True,True,False,0,0.3961,0.4706,"[0, 1, 2, 1, 2, 1, 0, 0, 2, 0, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 2, 1, 1, 1, 0, 0, 2, 2, 2, 2, 1, 2, 1, 2, 0, 0, 0, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
8,2017-08-04,2019-08-06,24,False,False,True,1,0.45,0.7647,"[2, 1, 2, 0, 0, 2, 0, 1, 2, 2, 0, 2, 1, 0, 2, 0, 2, 2, 1, 0, 2]","[0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
9,2017-09-05,2019-09-05,19,False,False,True,2,0.3007,0.5385,"[2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2]","[2, 2, 2, 2, 1, 1, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
10,2017-10-04,2019-10-04,21,True,True,False,0,0.4908,0.6,"[2, 0, 0, 2, 2, 2, 1, 2, 0, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 0, 2]","[2, 2, 0, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 0, 2]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
11,2017-11-02,2019-11-04,16,False,False,True,1,0.346,0.2727,"[2, 1, 1, 2, 1, 0, 1, 1, 1, 2, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 0]","[1, 1, 0, 1, 2, 1, 0, 1, 0, 2, 0, 1, 0, 2, 1, 1, 1, 1, 1, 1, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
12,2017-12-04,2019-12-04,16,False,False,True,2,0.5648,0.6364,"[2, 1, 2, 0, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 0, 1, 2, 0]","[2, 2, 2, 0, 2, 0, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",,,,fixed_3,lr
