window,date_start,date_end,total_edges,graph_msm,msm_trigger,static_f1,msm_f1,f1_delta
1,2017-01-04,2019-01-04,22,1.0,False,0.3813,0.3813,0.0
2,2017-02-03,2019-02-05,14,0.8182,False,0.2267,0.2267,0.0
3,2017-03-07,2019-03-07,19,0.8333,False,0.5428,0.5428,0.0
4,2017-04-05,2019-04-05,15,0.7955,False,0.56,0.56,0.0
5,2017-05-05,2019-05-07,15,0.7875,False,0.4583,0.4583,0.0
6,2017-06-06,2019-06-06,15,0.8,False,0.3167,0.3167,0.0
7,2017-07-06,2019-07-08,26,0.6339,False,0.2571,0.2571,0.0
8,2017-08-04,2019-08-06,24,0.6667,False,0.521,0.521,0.0
9,2017-09-05,2019-09-05,19,0.6774,False,0.2696,0.2696,0.0
10,2017-10-04,2019-10-04,21,0.625,False,0.3206,0.3206,0.0
11,2017-11-02,2019-11-04,16,0.6452,False,0.425,0.425,0.0
12,2017-12-04,2019-12-04,16,0.6923,False,0.3704,0.3704,0.0
13,2018-01-04,2020-01-06,19,0.72,False,0.3663,0.3663,0.0
14,2018-02-05,2020-02-05,17,0.85,False,0.5341,0.5341,0.0
15,2018-03-07,2020-03-06,25,0.6638,False,0.4136,0.4136,0.0
16,2018-04-06,2020-04-06,26,0.5878,True,0.3757,0.5399,0.1642
17,2018-05-07,2020-05-06,30,0.5698,True,0.326,0.3492,0.0232
18,2018-06-06,2020-06-05,20,0.6159,False,0.5167,0.4945,-0.0222
19,2018-07-06,2020-07-07,28,0.6667,False,0.4082,0.3672,-0.041
20,2018-08-06,2020-08-05,36,0.5938,True,0.3259,0.3577,0.0317
21,2018-09-05,2020-09-03,28,0.6667,False,0.401,0.3156,-0.0854
22,2018-10-04,2020-10-05,24,0.7073,False,0.2515,0.3667,0.1152
23,2018-11-02,2020-11-03,21,0.6812,False,0.3406,0.3072,-0.0333
24,2018-12-04,2020-12-03,22,0.7661,False,0.4123,0.5757,0.1634
25,2019-01-07,2021-01-05,32,0.6689,False,0.342,0.3421,0.0001
26,2019-02-06,2021-02-04,33,0.6279,False,0.3481,0.5162,0.168
27,2019-03-08,2021-03-08,24,0.6607,False,0.268,0.3285,0.0605
28,2019-04-08,2021-04-07,22,0.6607,False,0.2902,0.2692,-0.021
29,2019-05-08,2021-05-06,23,0.7286,False,0.2889,0.1942,-0.0947
30,2019-06-07,2021-06-07,19,0.8148,False,0.1833,0.3837,0.2004
31,2019-07-09,2021-07-07,22,0.7963,False,0.4921,0.598,0.106
32,2019-08-07,2021-08-05,22,0.7963,False,0.1448,0.3255,0.1807
33,2019-09-06,2021-09-03,23,0.86,False,0.5861,0.3667,-0.2194
34,2019-10-07,2021-10-05,25,0.8519,False,0.2407,0.5035,0.2627
35,2019-11-05,2021-11-03,24,0.8704,False,0.3652,0.484,0.1188
36,2019-12-05,2021-12-03,18,0.8333,False,0.4575,0.4857,0.0282
37,2020-01-07,2022-01-04,20,0.8365,False,0.3421,0.3175,-0.0246
38,2020-02-06,2022-02-03,31,0.6643,False,0.4889,0.3696,-0.1193
39,2020-03-09,2022-03-07,26,0.625,False,0.3815,0.3072,-0.0742
40,2020-04-07,2022-04-05,19,0.6154,False,0.2794,0.2658,-0.0136
41,2020-05-07,2022-05-05,25,0.5872,True,0.4222,0.4621,0.0399
42,2020-06-08,2022-06-06,22,0.6571,False,0.3007,0.3644,0.0637
43,2020-07-08,2022-07-07,30,0.6857,False,0.3988,0.4294,0.0306
44,2020-08-06,2022-08-05,23,0.6944,False,0.2406,0.1587,-0.0818
45,2020-09-04,2022-09-06,20,0.6786,False,0.4074,0.3081,-0.0993
46,2020-10-06,2022-10-05,20,0.6643,False,0.3117,0.7857,0.474
47,2020-11-04,2022-11-03,21,0.7,False,0.3155,0.5556,0.2401
48,2020-12-04,2022-12-05,18,0.8587,False,0.3485,0.366,0.0175
49,2021-01-06,2023-01-05,17,0.7917,False,0.307,0.4818,0.1748
50,2021-02-05,2023-02-06,15,0.7717,False,0.2804,0.5231,0.2427
